    INFO    baseapp01 1001 7001  [2017-11-25 01:46:39 643] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:49:34 641] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:50:49 641] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:52:29 640] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:55:24 637] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:57:04 636] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 01:57:54 637] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:01:14 601] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:01:39 600] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:02:54 599] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:04:34 599] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:05:24 598] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:09:09 595] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:10:49 594] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:11:14 594] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:12:29 593] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:14:59 591] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:17:04 591] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:17:29 590] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:21:39 588] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:22:29 587] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:24:09 585] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:24:59 585] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:26:39 583] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:28:44 582] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:29:34 581] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:33:19 579] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:34:09 578] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:34:34 578] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:36:14 577] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:37:04 576] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:40:24 574] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:43:19 572] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:43:44 572] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:45:24 572] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:47:54 569] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:48:44 569] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:49:34 568] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:49:59 568] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:50:49 567] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:54:34 598] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:54:59 598] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:56:14 597] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 02:59:59 561] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:00:49 560] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:02:04 560] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:04:34 558] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:06:39 556] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:08:44 555] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:09:34 555] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:12:04 553] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:13:44 551] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:16:14 550] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:16:39 550] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:17:29 550] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:19:34 516] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:23:19 512] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:24:09 512] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:26:14 510] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:28:44 508] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:29:09 508] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:31:14 506] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:32:29 506] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:32:54 505] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:36:39 503] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:37:04 503] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:37:54 502] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-25 03:39:34 501] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
