    INFO    baseapp01 1001 7001  [2017-11-22 02:11:21 397] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:15:31 393] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:17:36 391] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:18:51 391] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:20:06 390] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:22:36 388] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:24:16 387] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:25:06 386] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:28:01 386] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:28:51 385] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:30:31 416] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:30:56 417] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:34:16 380] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:35:31 379] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:36:21 380] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:38:01 378] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:40:56 376] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:41:21 376] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:44:16 375] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:45:06 374] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:46:21 373] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
